x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
11.512	4.86	0.38	0.07	46.69	0.04	0.45	0.1	0.09	1.53	0.11
1.669	-1.05	1.2	0.06	46.55	0.01	0.51	0.03	0.08	0.73	0.07
1.669	-3.02	1.1	0.06	46.55	0.01	0.49	0.03	0.08	0.68	0.06
-0.3	-3.02	0.87	0.05	46.59	0.01	0.5	0.04	0.07	0.95	0.07
-0.3	-1.05	0.84	0.06	46.6	0.02	0.51	0.04	0.08	0.71	0.06
1.669	-4.99	0.62	0.06	46.6	0.02	0.46	0.05	0.06	1.07	0.06
-0.3	-4.99	0.6	0.04	46.62	0.02	0.47	0.04	0.05	1.28	0.05
-0.3	0.92	0.59	0.05	46.64	0.02	0.57	0.05	0.07	1.2	0.07
-2.268	-3.02	0.49	0.04	46.62	0.02	0.54	0.05	0.06	1.11	0.06
3.637	-4.99	0.44	0.07	46.61	0.03	0.4	0.08	0.08	1.15	0.08
-2.268	-1.05	0.4	0.05	46.63	0.04	0.61	0.08	0.07	0.71	0.06
-2.268	-4.99	0.39	0.04	46.64	0.02	0.45	0.05	0.04	2.09	0.06
-6.206	18.65	1.48	0.06	46.94	0.02	0.85	0.04	0.1	0.72	0.08
-8.174	18.65	1.47	0.05	46.9	0.01	0.79	0.03	0.09	0.81	0.08
-6.206	16.68	1.44	0.05	46.95	0.01	0.95	0.04	0.09	1.06	0.09
-8.174	16.68	1.41	0.05	46.93	0.02	0.84	0.04	0.09	0.92	0.08
-6.206	20.62	1.38	0.06	46.91	0.02	0.77	0.04	0.1	0.64	0.08
-8.174	20.62	1.36	0.05	46.86	0.01	0.72	0.03	0.08	0.86	0.07
-8.174	14.71	1.22	0.04	46.99	0.01	0.87	0.03	0.07	1.59	0.08
-6.206	14.71	1.29	0.04	47.01	0.01	1.02	0.03	0.07	2.32	0.09
-8.174	12.74	0.98	0.04	47.06	0.02	0.83	0.04	0.07	1.36	0.08
-6.206	12.74	1.04	0.04	47.08	0.02	0.98	0.04	0.07	2.03	0.1
-6.206	10.77	0.79	0.04	47.1	0.02	0.81	0.05	0.07	1.6	0.09
-10.143	16.68	0.76	0.05	46.92	0.03	0.77	0.07	0.07	1.33	0.08
-10.143	14.71	0.66	0.04	47.02	0.03	0.78	0.06	0.06	1.48	0.07
