x	y	intensity	err intensity	velocity	err velocity	FWHM	err FWHM	rms	redchisq	resid
-14.08	67.9	0.97	0.13	46.29	0.1	1.11	0.11	0.08	1.14	0.09
-18.017	52.14	0.78	0.03	46.09	0.02	1.17	0.05	0.06	1.75	0.08
-16.048	52.14	0.76	0.03	46.19	0.02	1.25	0.05	0.06	2.35	0.08
-18.017	54.11	0.75	0.03	46.07	0.03	1.16	0.06	0.07	1.79	0.09
-16.048	54.11	0.72	0.03	46.17	0.03	1.36	0.07	0.07	1.85	0.08
-16.048	56.08	0.72	0.04	46.09	0.04	1.08	0.1	0.08	1.13	0.08
-18.017	56.08	0.72	0.05	46.04	0.04	1.05	0.09	0.1	0.92	0.09
-16.048	58.05	0.67	0.05	46.13	0.05	0.98	0.12	0.09	0.8	0.07
-18.017	58.05	0.66	0.06	46.1	0.04	1.02	0.1	0.11	0.61	0.08
-18.017	50.17	0.63	0.03	45.99	0.05	1.17	0.1	0.06	1.64	0.08
-19.986	54.11	0.62	0.05	45.99	0.05	1.1	0.11	0.1	0.91	0.09
-19.986	56.08	0.52	0.05	45.95	0.05	0.95	0.11	0.1	0.93	0.09
-19.986	58.05	0.47	0.05	46.01	0.05	0.96	0.11	0.09	0.89	0.08
-19.986	60.02	0.45	0.03	46.12	0.04	1.05	0.09	0.06	1.32	0.07
-19.986	52.14	0.79	0.05	45.91	0.04	0.92	0.1	0.1	0.83	0.08
-19.986	50.17	0.73	0.04	45.83	0.03	0.9	0.08	0.08	1.21	0.08
-19.986	48.2	0.57	0.03	45.71	0.03	0.92	0.07	0.06	1.63	0.07
-18.017	48.2	0.54	0.04	45.81	0.04	0.79	0.14	0.06	1.21	0.06
-19.986	61.99	0.48	0.04	46.18	0.04	1.06	0.1	0.07	1.42	0.09
-18.017	69.87	1.7	0.05	46.12	0.01	0.95	0.03	0.09	1.0	0.09
-19.986	69.87	1.62	0.05	46.02	0.01	0.9	0.04	0.1	0.82	0.09
-16.048	69.87	1.38	0.18	46.05	0.08	0.72	0.11	0.09	1.05	0.09
-19.986	67.9	1.29	0.05	46.14	0.02	0.94	0.05	0.1	0.81	0.09
-18.017	71.84	1.17	0.17	46.1	0.08	0.85	0.07	0.08	1.07	0.08
-14.08	73.81	1.15	0.04	46.11	0.01	0.96	0.03	0.07	1.01	0.06
-14.08	69.87	0.96	0.1	46.05	0.08	0.7	0.13	0.09	1.12	0.09
-16.048	71.84	0.95	0.19	46.26	0.15	0.96	0.16	0.1	0.85	0.09
-19.986	65.93	0.84	0.04	46.22	0.03	1.02	0.06	0.08	1.13	0.08
-19.986	63.96	0.56	0.04	46.21	0.04	1.07	0.09	0.08	1.17	0.09
